OH,HV,,O1D,H,,,,1,1,,
H2O,HV,,H,OH,,,,1,1,,...Références...
H2O,HV,,H2,O1D,,,,2,1,,
H2O,HV,,H,H,O3P,,,3,1,,
CO,HV,,C,O3P,,,,1,1,,
HCO,HV,,CO,H,,,,1,1,,
H2CO,HV,,H2,CO,,,,1,1,,
H2CO,HV,,H,HCO,,,,2,1,,
CH3OH,HV,,H2CO,H2,,,,1,1,,
CH3OH,HV,,CH3,OH,,,,2,1,,
CH2CO,HV,,3CH2,CO,,,,1,1,,
CH3CHO,HV,,CH4,CO,,,,1,1,,
CH3CHO,HV,,CH3,HCO,,,,2,1,,
CO2,HV,,CO,O3P,,,,1,1,,
CO2,HV,,CO,O1D,,,,2,1,,
NO,HV,,N4S,O3P,,,,1,1,,
N2O,HV,,N2,O1D,,,,1,1,,N2+O1S
N2O,HV,,N2,O1D,,,,2,1,,N2+O1D
HNO,HV,,H,NO,,,,1,1,,
HNCO,HV,,NH,CO,,,,1,1,,
HNCO,HV,,NCO,H,,,,2,1,,
C2H3,HV,,C2H2,H,,,,1,1,,
C3,HV,,3C2,C,,,,1,1,,
cC3H,HV,,C3,H,,,,1,1,,
lC3H,HV,,C3,H,,,,1,1,,
cC3H2,HV,,cC3H,H,,,,1,1,,
cC3H2,HV,,lC3H,H,,,,2,1,,
cC3H2,HV,,C3,H2,,,,3,1,,
lC3H2,HV,,cC3H,H,,,,1,1,,
lC3H2,HV,,lC3H,H,,,,2,1,,
lC3H2,HV,,C3,H2,,,,3,1,,
tC3H2,HV,,cC3H,H,,,,1,1,,
tC3H2,HV,,lC3H,H,,,,2,1,,
C3H3,HV,,cC3H2,H,,,,1,1,,
C3H3,HV,,tC3H2,H,,,,2,1,,
CH3C2H,HV,,C3H3,H,,,,1,1,,
CH3C2H,HV,,cC3H2,H2,,,,2,1,,
CH3C2H,HV,,lC3H2,H2,,,,3,1,,
CH3C2H,HV,,C2H2,3CH2,,,,4,1,,
CH3C2H,HV,,C2H,CH3,,,,5,1,,
CH2CCH2,HV,,C3H3,H,,,,1,1,,
CH2CCH2,HV,,cC3H2,H2,,,,2,1,,
CH2CCH2,HV,,lC3H2,H2,,,,3,1,,
CH2CCH2,HV,,C2H2,3CH2,,,,4,1,,
C3H5,HV,,C2H2,CH3,,,,1,1,,
C3H5,HV,,CH2CCH2,H,,,,2,1,,
C3H5,HV,,CH3C2H,H,,,,3,1,,
C3H6,HV,,C2H2,CH3,H,,,1,1,,
C3H6,HV,,C2H3,CH3,,,,2,1,,
C3H6,HV,,C3H3,H2,H,,,3,1,,
C3H6,HV,,CH2CCH2,H,H,,,4,1,,
C3H6,HV,,CH3C2H,H,H,,,5,1,,
C3H6,HV,,C3H5,H,,,,6,1,,
C3H7,HV,,C3H6,H,,,,1,1,,
C3H8,HV,,C3H6,H2,,,,1,1,,
C3H8,HV,,C2H6,1CH2,,,,2,1,,
C3H8,HV,,C2H5,CH3,,,,3,1,,
C3H8,HV,,C2H4,CH4,,,,4,1,,
C4H2,HV,,C4H,H,,,,1,1,,
C4H2,HV,,C2H2,1C2,,,,2,1,,
C4H2,HV,,C2H,C2H,,,,3,1,,
C4H2,HV,,C4H2X,,,,,4,1,,
C4H4,HV,,C4H3,H,,,,1,1,,
C4H4,HV,,C4H2,H2,,,,2,1,,
C4H4,HV,,C2H2,C2H2,,,,3,1,,
C4H6,HV,,C4H4,H2,,,,1,1,,
C4H6,HV,,C2H3,C2H3,,,,2,1,,
C4H6,HV,,C2H4,C2H2,,,,3,1,,
C4H6,HV,,C3H3,CH3,,,,4,1,,
C4H6,HV,,C4H5,H,,,,5,1,,
C4H8,HV,,C3H5,CH3,,,,1,1,,
C4H8,HV,,C4H7,H,,,,2,1,,
C4H8,HV,,C4H6,H2,,,,3,1,,
C4H8,HV,,C2H4,C2H4,,,,4,1,,
C4H10,HV,,C4H8,H2,,,,1,1,,
C4H10,HV,,C3H6,CH3,H,,,2,1,,
C4H10,HV,,C2H5,C2H4,H,,,3,1,,
C4H10,HV,,C2H6,C2H4,,,,4,1,,
C6H2,HV,,C6H,H,,,,1,1,,
C6H2,HV,,C4H,C2H,,,,2,1,,
C6H4,HV,,C6H3,H,,,,1,1,,
C6H4,HV,,C6H2,H2,,,,2,1,,
C6H4,HV,,C2H2,C4H2,,,,3,1,,
C6H6,HV,,C6H5,H,,,,1,1,,
C6H6,HV,,C6H4,H2,,,,2,1,,
C6H6,HV,,C5H3,CH3,,,,3,1,,
C8H2,HV,,C4H,C4H,,,,1,1,,
C8H2,HV,,C6H,C2H,,,,2,1,,
NH3,HV,,NH2,H,,,,1,1,,
N2H4,HV,,N2H3,H,,,,1,1,,
HNC,HV,,CN,H,,,,1,1,,
H2CN,HV,,HCN,H,,,,1,1,,
CH2NH,HV,,HCN,H,H,,,1,1,,
CH2NH,HV,,H2CN,H,,,,2,1,,
CH2NH,HV,,HCN,H2,,,,3,1,,
CH2NH,HV,,HNC,H2,,,,4,1,,
CH3NH,HV,,CH2NH,H,,,,1,1,,
CH3NH2,HV,,NH2,CH3,,,,2,1,,
CH3NH2,HV,,CH2NH,H2,,,,3,1,,
CH3NH2,HV,,CH3NH,H,,,,1,1,,
CHCN,HV,,C2N,H,,,,1,1,,
CH2CN,HV,,CHCN,H,,,,1,1,,
CH3CN,HV,,CN,CH3,,,,1,1,,
CH3CN,HV,,CH2CN,H,,,,2,1,,
CH2NCH,HV,,1CH2,HCN,,,,1,1,,
cCH2NCH,HV,,1CH2,HCN,,,,1,1,,
CH2NCH3,HV,,H2CN,CH3,,,,1,1,,
CH3NHCH3,HV,,CH3NH,CH3,,,,1,1,,
HC3N,HV,,C3N,H,,,,1,1,,
HC3N,HV,,CN,C2H,,,,2,1,,
HC3N,HV,,HCN,1C2,,,,3,1,,
HC3N,HV,,HC3NX,,,,,4,1,,
H2C3N,HV,,HC3N,H,,,,1,1,,
C2H3CN,HV,,HC3N,H2,,,,1,1,,
C2H3CN,HV,,C2H2,HCN,,,,2,1,,
C2H3CN,HV,,C2H2,HNC,,,,3,1,,
C2H3CN,HV,,H2C3N,H,,,,4,1,,
C2H4CN,HV,,C2H3CN,H,,,,1,1,,
C2H5CN,HV,,CH2CN,CH3,,,,1,1,,
C2H5CN,HV,,HCN,C2H4,,,,2,1,,
C2H5CN,HV,,C2H3CN,H2,,,,3,1,,
HC4N,HV,,C4N,H,,,,1,1,,
HC4N,HV,,CN,lC3H,,,,2,1,,
CH2C3N,HV,,HC4N,H,,,,1,1,,
CH2C3N,HV,,lC3H2,CN,,,,2,1,,
CH3C3N,HV,,CH2C3N,H,,,,1,1,,
H4C4N,HV,,CH3C3N,H,,,,1,1,,
C4H3CN,HV,,H2C5N,H,,,,1,1,,
C4H3CN,HV,,HCN,C4H2,,,,2,1,,
C3H5CN,HV,,H4C4N,H,,,,1,1,,
C3H5CN,HV,,HCN,CH2CCH2,,,,2,1,,
C3H5CN,HV,,HC3N,CH4,,,,3,1,,
C3H7CN,HV,,C2H4CN,CH3,,,,1,1,,
C3H7CN,HV,,C3H6CN,H,,,,2,1,,
C3H7CN,HV,,C3H5CN,H2,,,,3,1,,
C3H7CN,HV,,SOOTN,,,,,4,1,,
HC5N,HV,,C5N,H,,,,1,1,,
HC5N,HV,,CN,C4H,,,,2,1,,
HC5N,HV,,C3N,C2H,,,,3,1,,
HC5N,HV,,HC5NX,,,,,4,1,,
H2C5N,HV,,HC5N,H,,,,1,1,,
C2H5C3N,HV,,CH2C3N,CH3,,,,1,1,,
C2H5C3N,HV,,C2H3C3N,H2,,,,2,1,,
C2H5C3N,HV,,HC3N,C2H4,,,,3,1,,
C3H7C3N,HV,,C4H4CN,CH3,,,,1,1,,
C3H7C3N,HV,,SOOTN,H2,,,,2,1,,
C3H7C3N,HV,,HC3N,C3H6,,,,3,1,,
C2N2,HV,,CN,CN,,,,1,1,,
HNCNH,HV,,HNC,NH,,,,1,1,,
HNCNH,HV,,HCN,NH,,,,2,1,,
HC2N2,HV,,C2N2,H,,,,1,1,,
C4N2,HV,,C3N,CN,,,,1,1,,
HC4N2,HV,,C4N2,H,,,,1,1,,
CS2,HV,,CS,S3P,,,,1,1,,
CS2,HV,,CS,S1D,,,,2,1,,
OCS,HV,,S1D,CO,,,,1,1,,
H2S,HV,,SH,H,,,,1,1,,
H2S,HV,,S3P,H2,,,,2,1,,
H2S,HV,,S1D,H2,,,,3,1,,
CS,HV,,S3P,C,,,,1,1,,
HCS,HV,,CS,H,,,,1,1,,
H2CS,HV,,HCS,H,,,,1,1,,
CH3SH,HV,,SH,CH3,,,,1,1,,
CH3SH,HV,,CH3S,H,,,,2,1,,
CH3CHS,HV,,HCS,CH3,,,,1,1,,
C2S,HV,,CS,C,,,,1,1,,
HCCS,HV,,C2S,H,,,,1,1,,
HCCS,HV,,CS,CH,,,,2,1,,
H2CCS,HV,,HCCS,H,,,,1,1,,
C3S,HV,,CS,1C2,,,,1,1,,
C3S,HV,,S1D,C3,,,,2,1,,
C3S,HV,,C2S,C,,,,3,1,,
H2C3S,HV,,CS,C2H2,,,,1,1,,
H2C3S,HV,,HC3S,H,,,,2,1,,
H2C3S,HV,,C3S,H2,,,,3,1,,
H2C5S,HV,,CS,C4H2,,,,1,1,,
H2C5S,HV,,C3S,C2H2,,,,2,1,,
NS,HV,,S3P,N4S,,,,1,1,,
N2S,HV,,S1D,N2,,,,1,1,,
HNCS,HV,,NCS,H,,,,1,1,,
HNCS,HV,,S3P,HNC,,,,2,1,,
